day,Game_Time_Contribution,Game_Microtrans_Contribution,Game_Accounts_contribution
2017-01-04,3.3310784553051356,1.8997378267588443,21.5578
2017-01-05,5.623173648223706,3.570128170872729,32.6910
2017-01-06,4.461961438052824,2.780573083575363,26.9074
2017-01-07,4.1225170068065,3.112382641672639,25.2190
2017-01-08,3.5557487417271134,2.383396095291504,21.9724
2017-01-09,3.313475502199544,2.65480860405951,20.7052
2017-01-10,3.1197965537147927,3.1913251688348887,19.7572
2017-01-11,2.920582630008521,1.770800034817522,19.0679
2017-01-12,3.0880451909184385,2.1674144550330015,18.5573
2017-01-13,2.5637250659801327,1.714931440695443,16.1629
2017-01-14,2.580453538725163,1.823065315835209,18.1987
2017-01-15,2.5861915135159825,1.4921022495895013,16.7922
2017-01-16,2.616566809705326,2.22594925921529,15.9349
2017-01-17,2.5266889706968705,1.8565982628577653,16.0318
2017-02-01,3.1427194572683987,1.9788732215225158,15.6237
2017-02-02,3.756389401324515,2.598628800259067,17.0223
2017-02-03,4.1650049307947885,2.3904779455427008,18.2172
2017-02-04,3.696530058751661,2.0899033834874503,16.3951
2017-02-05,3.247333206553048,1.867806590431185,15.2629
2017-02-06,3.932235648191301,2.6012791339829286,17.0772
2017-02-07,4.216423984777538,2.6802001061398886,18.9879
2017-02-08,3.921976437806192,2.509439905816858,18.4099
2017-02-09,3.6064715303083013,2.4253616609768547,15.8728
2017-02-10,3.738471272681825,2.5559997472977347,16.9347
2017-02-11,3.5419777320616337,2.231356622153766,16.5081
2017-02-12,3.6436397565497685,2.548255798972343,16.0182
2017-02-13,3.7898504353364957,2.7018021144069064,17.2407
2017-02-14,3.892683979531271,2.7982195227501996,18.8409
2017-03-01,3.3886052011592755,3.409215139113251,23.6845
2017-03-02,5.6745793852535815,5.067023730491489,32.0835
2017-03-03,4.802129765097564,4.875941219375328,26.8552
2017-03-04,3.906618910153465,3.9621344198381765,24.7112
2017-03-05,3.484912414433794,4.26647080358213,22.2478
2017-03-06,3.622437494124893,5.010356863362412,21.5045
2017-03-07,3.5046427916464595,4.627608078674193,21.7449
2017-03-08,3.5873950856927324,4.117099772845634,21.1550
2017-03-09,3.696322966786402,3.9768782392267026,19.9922
2017-03-10,3.29195190662923,3.171239169551501,19.9723
2017-03-11,3.135051712958206,3.3774468502363653,19.3125
2017-03-12,3.127800441663829,3.1476112575955897,19.0533
2017-03-13,2.7647037966559957,2.845050728285119,16.9730
2017-03-14,2.9997127658826095,3.7005315618003944,18.3886
2017-04-05,6.636600217904067,3.6473919201002727,28.1566
2017-04-06,11.681860075981742,7.011487888702164,43.4639
2017-04-07,10.037869322422157,5.431316546540331,42.6138
2017-04-08,7.7135313346772625,4.557936827949386,31.4780
2017-04-09,6.143247301865892,3.250645845879348,26.8089
2017-04-10,6.055393894363257,3.727237548356089,25.0167
2017-04-11,5.3752118055735245,4.070027317687393,23.9597
2017-04-12,5.385343773605486,2.9005114597068524,23.0497
2017-04-13,4.859469496661166,2.478125871921377,23.0375
2017-04-14,4.336745518290563,2.1826891915392435,21.8169
2017-04-15,4.454927274449868,2.6123880089731792,20.9342
2017-04-16,4.200946827139425,2.3752195556476563,20.4286
2017-04-17,4.100168392214884,2.120415835218709,19.3433
2017-04-18,4.470616328358092,2.12935936260781,19.5091
2017-05-03,2.6548472302875545,2.0567247465208016,19.7734
2017-05-04,4.166792392363831,5.756724598407028,25.9907
2017-05-05,3.354505116544473,5.454068210216375,22.0227
2017-05-06,2.83532439349079,2.3737521710581526,20.0189
2017-05-07,2.5864209760844963,1.9718187232129865,17.6311
2017-05-08,2.3975232595764155,1.8889203033721775,16.2032
2017-05-09,2.4250667015267178,2.3953127789155215,15.6029
2017-05-10,2.225132623543858,2.479343117455667,15.3000
2017-05-11,2.3047594424815676,2.5586194000840283,14.6968
2017-05-12,2.252483319594369,2.582394216461487,14.5317
2017-05-13,2.137387315924628,7.283771374453969,14.5477
2017-05-14,2.0528147563243837,4.415887885875568,13.3871
2017-05-15,1.9593027017774922,2.344176947943073,12.7186
2017-05-16,1.8280848420742561,1.8738544064110196,12.7782
2017-06-21,3.004539968067295,1.8274934657350195,19.5812
2017-06-22,6.310013519913567,3.8742451033333585,36.3111
2017-06-23,6.085595877166015,3.9055072965041933,37.2666
2017-06-24,4.533689775178719,2.851942577380609,28.0144
2017-06-25,3.9490301687598928,2.767092709454372,21.1755
2017-06-26,3.4998515585342926,2.2687501602815265,18.5001
2017-06-27,3.1485082219069302,2.42546967220165,16.6092
2017-06-28,2.8575519954145476,1.7139566178852361,16.1221
2017-06-29,2.6332382100587783,1.7392481800074577,15.3672
2017-06-30,2.6682115228679004,1.823624802897697,15.6688
2017-07-01,2.4643779327341084,1.7433372551372839,15.0732
2017-07-02,2.523394100869061,2.0329919462589214,14.1666
2017-07-03,2.25619821701129,1.4264451957943565,13.2288
2017-07-04,2.234959899965813,1.8849538944932278,12.1729
2017-07-19,3.4337089220486368,1.2674616782553847,12.0904
2017-07-20,5.670346913577112,2.655191444635266,15.6587
2017-07-21,4.562932512391328,1.8392592303896746,12.6835
2017-07-22,4.424519445369328,1.8389956279780535,10.8446
2017-07-23,3.7893347498079244,1.3272948838922027,9.5232
2017-07-24,3.604697379527541,1.3188011713763275,8.6070
2017-07-25,3.3951584100000187,1.4496535582772667,8.5305
2017-07-26,2.7554459126063824,1.0878537192017155,7.4601
2017-07-27,2.137750666681503,1.0468930876246352,5.8717
2017-07-28,2.287392105256837,1.0038109396272472,5.6238
2017-07-29,1.896462716571229,0.9636757070148796,5.4345
