day,Game_Time_Contribution,Game_Microtrans_Contribution,Game_Accounts_contribution
2017-08-01,1.9086554155965176,0.9609436805290885,4.9231
2017-08-02,3.496556801421588,1.7619190986218165,25.3487
2017-08-03,6.362750564593584,3.7708401437811263,38.7945
2017-08-04,4.349263043832492,2.512610524891259,28.5795
2017-08-05,3.554628276465023,2.839414666746852,23.7310
2017-08-06,3.0976309344368014,2.7147423719412216,19.3849
2017-08-07,2.760332776975062,2.4767544679218623,17.5707
2017-08-08,2.766907329798006,2.54396375375001,17.2082
2017-08-09,2.548585846527637,2.865439376841038,13.3018
2017-08-10,2.316024189532303,2.207695621392929,13.3040
2017-08-11,2.123808253995198,4.641579998366561,12.8424
2017-08-12,1.9585372551333808,1.5478332920055466,13.3344
2017-08-13,1.853938844712081,1.509930604286605,12.9432
2017-08-14,1.9924350108985407,2.528290816849308,12.5564
2017-08-15,2.2339727137960486,2.4278690686847666,14.7154
2017-09-06,1.0726196605471054,1.3471073377610139,10.8285
2017-09-07,1.6517573902124165,1.3453223159262502,14.8634
2017-09-08,1.2099797469988463,0.9616450691262872,11.2072
2017-09-09,1.0175422569200454,0.8844516911589096,9.3898
2017-09-10,0.9113364092489843,1.2428236564953374,8.6503
2017-09-11,0.8903291080090368,1.2346387694902865,7.1231
2017-09-12,0.8084805311886045,0.885820650864098,6.7468
2017-09-13,0.7362966680374566,0.7521939061235025,6.4805
2017-09-14,0.6291890391910188,0.6731246862975043,6.0810
2017-09-15,0.7223345177722839,0.7765430700069652,6.1221
2017-09-16,0.604134158490271,0.5009084631060505,5.9112
2017-09-17,0.6720280667514344,1.2265679537216214,5.7449
2017-09-18,0.5531049059528381,0.525221894605624,5.3215
2017-09-19,0.5607526342743678,0.527242119023175,5.2558
2017-10-04,1.2957932989381868,1.2888152532557338,11.4436
2017-10-05,2.69311662709354,3.095236719942033,20.0314
2017-10-06,2.308800568973759,1.7110545652753526,16.7922
2017-10-07,2.076928280489464,1.6904383468586033,14.7976
2017-10-08,1.6627251572780535,1.169399324623785,13.1477
2017-10-09,1.6371985382423297,1.6584999825833768,12.1338
2017-10-10,1.5689528768284424,2.064312278121138,11.0120
2017-10-11,1.4458650201128602,1.714327007592847,10.9508
2017-10-12,1.4113908224868754,1.2168636809850089,10.2891
2017-10-13,1.9194205401824644,1.6150054792365098,13.6655
2017-10-14,1.8804662520596673,1.5292043549415804,14.7641
2017-10-15,1.5659863797421927,1.1566588001198337,12.5014
2017-10-16,1.4783313819987478,1.1650335577769657,11.2574
2017-10-17,1.4928777645904454,1.9172270965598874,10.9839
2017-11-01,2.723566526680965,1.6461032511114269,17.2739
2017-11-02,5.454560120680668,3.984935777715213,29.0491
2017-11-03,4.135662840086765,2.666683663599482,21.8894
2017-11-04,2.970945874504331,2.0883525869456157,16.7843
2017-11-05,2.4623205266378267,1.4777710191623716,13.7248
2017-11-06,2.2462891298915255,1.983026895240971,11.9670
2017-11-07,2.1363539076330804,1.6298649762601356,11.7237
2017-11-08,2.1199636463886398,1.7042915798345635,11.2971
2017-11-09,2.073811263294532,1.5756118494250022,11.0000
2017-11-10,1.9288114245800372,1.2938282341513545,11.1766
2017-11-11,1.7591621792956618,1.1552177675268192,10.6717
2017-11-12,1.681408452600735,1.1871628913009649,10.0680
2017-11-13,1.5746626519126314,1.182979412976122,9.1373
2017-11-14,1.6785590989535744,1.104272842013718,9.2075
2017-12-06,1.6712626697616644,1.6285053530586056,14.3358
2017-12-07,3.064499241040578,2.431493349864032,22.7800
2017-12-08,2.1963257654240946,1.7190175830780086,16.5457
2017-12-09,1.8781168355511757,1.2971740645443148,14.4490
2017-12-10,1.6002810992559051,1.6223959967472044,12.2954
2017-12-11,1.5436342544253447,1.1819398642987062,11.3861
2017-12-12,1.376106591558654,1.042641033122615,10.5310
2017-12-13,1.4200777639400257,1.6103854915173903,10.3795
2017-12-14,1.2703190920166825,2.3584861479052877,9.6987
2017-12-15,1.34388493385349,0.9625897520848488,9.2356
2017-12-16,1.1113734336134737,0.7823118982538105,9.0558
2017-12-17,1.0884949790509062,1.1511759019808947,8.5335
2017-12-18,1.1776724617871397,1.0342683305049305,8.0732
2017-12-19,1.1653222287071887,0.8908783348630634,8.4358
